id,words,counts
636,21,4
637,speaking,13
638,people,444
639,care,39
640,todays,14
641,special,11
642,profound,5
643,implications,1
644,depending,1
645,labour,181
646,bunch,7
647,short,10
648,term,24
649,relief,1
650,general,36
651,giving,23
652,aha,5
653,cars,4
654,driving,3
655,assumed,3
656,continent,3
657,working,45
658,cocktail,1
659,bar,9
660,met,12
661,wow,16
662,geneva,6
663,scorching,1
664,hot,11
665,key,15
666,component,1
667,booze,8
668,sucks,2
669,fucking,123
670,prompted,1
671,def,1
672,meridians,1
673,life,52
674,force,9
675,qi,1
676,reminded,3
677,given,12
678,wonderful,11
679,advances,2
680,literally,88
681,share,15
682,lbc,4
683,microphone,1
684,nigel,17
685,farage,25
686,actually,82
687,banging,1
688,second,24
689,referendum,53
690,win,41
691,supporting,12
692,idiot,6
693,finding,5
694,spending,13
695,nights,4
696,depressing,3
697,actual,25
698,depression,10
699,maybe,31
700,stay,24
701,costs,8
702,rauschgold,2
703,spend,7
704,daytime,2
705,schneberg,5
706,weird,7
707,straight,30
708,couples,7
709,hold,18
710,hands,8
711,day,98
712,drinks,4
713,mehringdamm,1
714,us,142
715,teachers,4
716,editions,1
717,springfield,1
718,elementary,1
719,school,25
720,mixture,1
721,chair,13
722,keyboard,2
723,stackoverflow,1
724,immediately,8
725,wasted,2
726,ages,7
727,reading,11
728,logs,1
729,trying,39
730,different,37
731,things,88
732,finally,41
733,mamp,1
734,mysql,2
735,server,1
736,eugh,12
737,despite,26
738,headline,8
739,others,26
740,seeking,2
741,mislead,1
742,macrons,2
743,stance,3
744,eu,270
745,single,59
746,market,42
747,access,14
748,accepting,9
749,freedoms,12
750,leave,92
751,issue,16
752,harmful,9
753,impact,21
754,stick,7
755,politician,8
756,conclusion,5
757,fault,16
758,moronicbut,1
759,guess,21
760,enjoyed,8
761,visiting,4
762,thoroughly,4
763,recommend,12
764,locals,1
765,tourists,2
766,lots,25
767,digest,1
768,oh,132
769,cafe,2
770,fabulous,4
771,wine,16
772,350,3
773,pls,4
774,david,29
775,cameron,13
776,campaigned,8
777,remain,54
778,vast,15
779,swathes,1
780,socalled,4
781,progressives,3
782,deepthroated,1
783,prior,5
784,23rd,7
785,june,20
786,cheap,8
787,fair,31
788,thought,51
789,trashed,2
790,council,27
791,blame,18
792,priorities,6
793,,109
794,cared,7
795,suddenly,10
796,seem,14
797,encouraging,2
798,mor,1
799,hurtful,1
800,wiping,3
801,tears,10
802,degrees,1
803,afford,5
804,using,37
805,statesubsidised,1
806,rail,3
807,occurred,2
808,equivalent,6
809,change,47
810,profile,11
811,photos,3
812,terrorist,14
813,attack,21
814,offer,19
815,nothing,60
816,thoughts,10
817,prayers,4
818,whenever,4
819,newly,2
820,baptised,1
821,supposedly,1
822,proeu,11
823,twitter,71
824,brigade,2
825,angry,23
826,abusive,2
827,anna,4
828,soubry,3
829,self,3
830,id,78
831,whim,1
832,use,47
833,bypass,1
834,aws,2
835,evidence,34
836,15,8
837,public,29
838,anglicans,1
839,billion,4
840,church,20
841,england,15
842,asking,27
843,hav,3
844,supposed,8
845,liberals,8
846,whove,11
847,sucked,1
848,mans,3
849,dick,12
850,past,22
851,repugnant,2
852,abuserprotecting,1
853,shitbag,6
854,predecessor,1
855,pr,12
856,agency,7
857,cartoonwomen,1
858,women,67
859,ah,29
860,even,95
861,doughty,1
862,campaigners,5
863,pretty,57
864,damn,9
865,regressive,4
866,getting,58
867,crux,1
868,labours,21
869,wear,6
870,badge,1
871,support,71
872,trans,21
873,fashionable,1
874,refuse,11
875,recognise,5
876,gender,13
877,unless,34
878,bullshit,17
879,trifecta,1
880,giles,2
881,fraser,1
882,praising,1
883,johann,7
884,unherd,1
885,cow,2
886,website,8
887,oooo,2
888,touch,8
889,councillors,3
890,austerity,2
891,fixed,2
892,cctv,2
893,2007,2
894,rest,20
895,gosh,7
896,brexit,310
897,looks,25
898,challengeguildford,1
899,asked,36
900,siri,1
901,certain,14
902,boy,5
903,text,6
904,sent,21
905,funeral,5
906,wil,1
907,intervention,1
908,european,52
909,parliament,47
910,taoiseach,2
911,leo,2
912,varadkar,4
913,euro,14
914,sorry,64
915,jay,1
916,wondering,8
917,haris,1
918,claims,4
919,received,11
920,message,20
921,deutschland,6
922,wird,2
923,ein,16
924,veto,7
925,einlegen,1
926,mothers,1
927,lock,4
928,daughters,1
929,corby,10
930,amp,102
931,east,5
932,northamptonshire,1
933,constituency,9
934,borough,2
935,fifteen,2
936,clicked,1
937,ace,1
938,rimmer,1
939,deliberate,2
940,euphemism,1
941,childhood,2
942,innocence,1
943,eh,12
944,voicemail,1
945,reference,4
946,number,34
947,called,42
948,020,1
949,7175,1
950,4592,1
951,enjoy,28
952,stamps,1
953,leaders,9
954,fluffy,1
955,left,45
956,revolutionaries,1
957,compared,4
958,pernicious,4
959,automated,4
960,scam,2
961,phone,13
962,claiming,3
963,hmrc,2
964,house,33
965,surveillance,2
966,prosecuted,1
967,random,3
968,london,78
969,fall,8
970,might,42
971,meps,4
972,strange,8
973,bodies,3
974,become,35
975,unnecessary,2
976,tusk,6
977,speaks,4
978,alone,9
979,cat,31
980,largest,5
981,stop,71
982,complaining,13
983,deliveringthis,1
984,deal,99
985,britain,92
986,bumpy,1
987,ride,2
988,remainers,29
989,happily,8
990,walking,6
991,farages,11
992,web,3
993,question,39
994,polling,21
995,overturned,3
996,consistently,6
997,wants,28
998,kill,11
999,return,13
1000,membership,16
1001,generations,2
1002,minions,1
1003,remedy,1
1004,everyone,30
1005,mental,37
1006,health,36
1007,individual,5
1008,switching,2
1009,notifications,6
1010,facebook,10
1011,wonders,3
1012,antidepressants,6
1013,obvious,11
1014,amendments,4
1015,move,47
1016,ignoramuses,1
1017,das,17
1018,ist,23
1019,der,27
1020,hhepunkt,1
1021,britischen,2
1022,ambitionen,1
1023,briefmarken,1
1024,kretinen,1
1025,infamous,2
1026,somebodys,3
1027,jealous,2
1028,realised,20
1029,pressing,2
1030,reasons,20
1031,kept,7
1032,frustrated,2
1033,face,32
1034,makes,34
1035,pun,3
1036,weirdest,1
1037,sideeffect,1
1038,dreams,2
1039,night,40
1040,helping,8
1041,leslie,1
1042,nielsen,1
1043,morgan,4
1044,freeman,1
1045,couple,10
1046,renovate,1
1047,home,34
1048,come,59
1049,practise,5
1050,running,13
1051,honor,2
1052,father,5
1053,please,68
1054,mother,7
1055,architect,1
1056,king,4
1057,legacy,2
1058,f,11
1059,shit,66
1060,small,15
1061,marathon,2
1062,answered,3
1063,human,37
1064,rights,69
1065,acceptable,4
1066,palatable,1
1067,metric,1
1068,briten,1
1069,flchtlinge,4
1070,sprechen,1
1071,keine,3
1072,einwanderer,1
1073,sondern,1
1074,herzlose,1
1075,arschlocher,1
1076,dealing,5
1077,management,3
1078,issues,17
1079,comment,14
1080,threads,1
1081,recommending,1
1082,treatment,6
1083,generally,5
1084,conclusive,1
1085,set,21
1086,studies,10
1087,suggest,14
1088,interacts,1
1089,drugs,4
1090,infeasible,1
1091,woo,2
1092,promised,5
1093,fiction,2
1094,2018,18
1095,concerned,7
1096,sanctity,3
1097,peter,4
1098,bones,1
1099,delayed,1
1100,responding,4
1101,sex,33
1102,sin,43
1103,point,68
1104,spectacularly,1
1105,excuse,25
1106,gays,36
1107,oppressive,3
1108,ridiculous,26
1109,fantastical,2
1110,system,23
1111,oppose,7
1112,wankspangle,6
1113,selfappointed,1
1114,voice,7
1115,poor,23
1116,tm,1
1117,lambeth,2
1118,sensible,10
1119,pro,11
1120,protesters,1
1121,block,7
1122,cyclist,1
1123,whitehall,1
1124,non,3
1125,partisan,1
1126,demons,1
1127,colleague,1
1128,morning,31
1129,hear,29
1130,henry,1
1131,bolton,2
1132,whoso,1
1133,current,14
1134,two,73
1135,brits,15
1136,reached,6
1137,regarding,6
1138,week,46
1139,significantly,3
1140,improved,1
1141,later,5
1142,always,64
1143,helps,5
1144,xx,21
1145,commission,10
1146,2nd,5
1147,chances,1
1148,trustworthy,1
1149,shoot,2
1150,duff,1
1151,argumen,1
1152,favorite,2
1153,gif,3
1154,heeey,1
1155,forgive,4
1156,filming,1
1157,locations,1
1158,guildford,11
1159,recognised,7
1160,james,8
1161,top,21
1162,chase,2
1163,till,22
1164,saw,20
1165,scene,4
1166,bus,24
1167,station,12
1168,unionwas,1
1169,built,3
1170,guarantee,3
1171,citizens,26
1172,freedom,35
1173,democracy,23
1174,rule,10
1175,law,25
1176,hungarian,1
1177,p,24
1178,pretending,4
1179,directive,4
1180,chutzpah,1
1181,har,1
1182,huge,21
1183,publicity,4
1184,tell,54
1185,6580,1
1186,wh,1
1187,spent,11
1188,saturday,3
1189,overcoming,1
1190,wordpress,3
1191,prepare,8
1192,statement,17
1193,deals,7
1194,floating,1
1195,values,12
1196,precision,1
1197,6,12
1198,decimal,1
1199,places,5
1200,longlats,1
1201,therefore,8
1202,7,15
1203,fun,26
1204,put,52
1205,succinctly,1
1206,considering,14
1207,basic,7
1208,excusable,1
1209,voting,67
1210,equal,8
1211,lgbt,43
1212,category,2
1213,lets,48
1214,stock,3
1215,average,11
1216,suggesting,10
1217,equality,12
1218,act,16
1219,sexual,25
1220,orientation,4
1221,regs,4
1222,worked,8
1223,sps,1
1224,unnecessarily,2
1225,long,52
1226,prepared,5
1227,sql,2
1228,code,13
1229,bed,14
1230,stored,1
1231,procedure,2
1232,workbench,1
1233,lodge,2
1234,park,11
1235,suppose,16
1236,teacher,8
1237,ward,7
1238,maiden,2
1239,relation,3
1240,mums,4
1241,side,22
1242,kennedy,1
1243,embedded,3
1244,dads,4
1245,grandad,2
1246,headteacher,1
1247,st,14
1248,brendans,1
1249,primary,4
1250,late,19
1251,80searly,1
1252,90s,5
1253,unlikely,2
1254,shoutout,2
1255,teenager,2
1256,struggling,7
1257,sexuality,3
1258,vitally,1
1259,understand,46
1260,william,2
1261,shakespeare,1
1262,walks,2
1263,pub,8
1264,landlord,2
1265,shouts,1
1266,bard,1
1267,thereisagif,1
1268,chris,10
1269,williamson,2
1270,blamed,4
1271,grenfell,4
1272,neoliberalism,2
1273,praises,1
1274,dictatorships,1
1275,train,12
1276,carriages,1
1277,spread,2
1278,independent,5
1279,analysis,5
1280,simple,21
1281,based,7
1282,attended,1
1283,additionally,4
1284,options,6
1285,scream,4
1286,included,4
1287,dull,1
1288,trashy,1
1289,heteronormativity,1
1290,gaymarried,1
1291,thursday,6
1292,coding,2
1293,uhhuh,1
1294,worth,6
1295,buying,5
1296,bmws,3
1297,barely,10
1298,2,41
1299,clientbase,1
1300,ps,1
1301,torn,3
1302,naturally,2
1303,inclined,1
1304,towards,10
1305,grievances,1
1306,arrogance,3
1307,knocked,5
1308,eleventy,1
1309,pegs,1
1310,dare,11
1311,demand,10
1312,best,57
1313,dinner,9
1314,tonight,33
1315,transitional,6
1316,period,14
1317,postbrexit,8
1318,extension,4
1319,a50,18
1320,expires,3
1321,reapplicationsulu,1
1322,views,36
1323,whatever,16
1324,managed,8
1325,vs,9
1326,itd,16
1327,cancelling,8
1328,properly,9
1329,informed,3
1330,lemmings,1
1331,separate,2
1332,continue,10
1333,wins,10
1334,52,3
1335,data,18
1336,hate,40
1337,result,27
1338,massive,27
1339,careful,2
1340,ask,37
1341,selective,2
1342,mentioned,5
1343,awful,62
1344,cancel,10
1345,farron,30
1346,gove,5
1347,khan,8
1348,etc,20
1349,victimisation,1
1350,valid,1
1351,politicians,11
1352,beliefs,11
1353,friend,22
1354,mine,19
1355,ended,4
1356,month,24
1357,conversation,6
1358,failed,9
1359,try,28
1360,allow,14
1361,registrars,4
1362,marry,5
1363,programme,1
1364,motion,3
1365,abstaining,2
1366,3rd,5
1367,sounds,13
1368,journalists,9
1369,bias,8
1370,whatsoever,6
1371,pets,3
1372,owners,1
1373,mimic,1
1374,dems,51
1375,everywhere,8
1376,tim,27
1377,mentioning,7
1378,thread,18
1379,former,19
1380,councillor,12
1381,eu27,29
1382,davis,26
1383,hammond,2
1384,appeal,6
1385,businesses,5
1386,fauxbritish,1
1387,hamper,1
1388,devastated,2
