id,author_id
746,942826191735738368
747,942803448034152448
748,942798810606075906
749,942798673012056065
750,942785978057547777
751,942784354069164032
752,942783407293173761
753,942781776606515201
754,942781157065805824
755,942771762466566144
756,942735033563013120
757,942726684004048896
758,942726441812316160
759,942714310450663424
760,942706298050826240
761,942706223111172096
762,942704875842031616
763,942699451214376960
764,942698123507519489
765,942696840243359744
766,942691556984795136
767,942691517394714624
768,942691479629295616
769,942686082860310529
770,942679335131078656
771,942559322906746880
772,942555348661161984
773,942554045612482560
774,942554028113846272
775,942549469681344513
776,942548204108877824
777,942548048001060864
778,942547347380326400
779,942546741873782791
780,942539092620869633
781,942533656387735552
782,942533203851694087
783,942531933904531456
784,942442293881171969
785,942430104780726272
786,942418350545735682
787,942393321498005505
788,942384220231622656
789,942383201544269825
790,942383056287125505
791,942382877676843008
792,942367741406826496
793,942366272737685510
794,942364423355813888
795,942363909742317573
796,942363617919406081
797,942362869798195200
798,942358056855396352
799,942206319649591297
800,942202352823623680
801,942201984769282048
802,942144729046757376
803,942136389503737856
804,942134978380468224
805,942133604712370176
806,942128063894171648
807,942126691945762817
808,942126570868797440
809,942111763453169666
810,942105975699464195
811,942104725494919169
812,942104397244452864
813,942104320962646023
814,942092415380443137
815,942091096292777984
816,942090857821417472
817,942088618553864192
818,942084023270207488
819,942083337816035328
820,942083242768982018
821,942072369358823424
822,942072234239315969
823,942072053431259136
824,942071131829342211
825,942056670309572615
826,942055472462487552
827,942054945372721153
828,942054873205526528
829,942051098390605825
830,942037836647354368
831,942036146938359808
832,942034922914615296
833,942032988119945217
834,942032523269459974
835,942032209632006144
836,942031822682066944
837,942031734639644672
838,942022804987400193
839,942022703875284992
840,942022617309106177
841,942016706641317888
842,942005798192013312
843,941996063241789441
844,941991510890950658
845,941991392015978497
846,941756348072628225
847,941739452233338885
848,941736997550510080
849,941732143062855680
850,941730789032677377
851,941709963877142529
852,941701913904640002
853,941676436615819264
854,941654506219110400
855,941650246970609664
856,941649951775485959
857,941648721154117632
858,941647773946007552
859,941641081401245697
860,941637601995444224
861,941633516864983042
862,941612343133396994
863,941611894439366656
864,941455674009116677
865,941448470052864000
866,941447717204779008
867,941436985352359940
868,941411161978867714
869,941410763377430528
870,941382346246447105
871,941381991194382338
872,941379364603777026
873,941368952923574273
874,941368578418397184
875,941361049026121728
876,941358722244399106
877,941357463600852992
878,941351280248852480
879,941347757918507009
880,941326423058518016
881,941316870904467456
882,941275607463325697
883,941274377471102976
884,941272068225667072
885,941265739113205760
886,941264309702811649
887,941262236970049536
888,941230592053665792
889,941227712584306688
890,941227655151702018
891,941138275141636097
892,941123857527853056
893,941123846408679425
894,941123455956803584
895,941026532998483973
896,941026390799015937
897,941026047616798721
898,941025328180400128
899,941024927192317955
900,941024497242640387
901,941024458747281408
902,941022220083712000
903,941021779346317312
904,941021471396237314
905,941016307503427585
906,941006385835401216
907,940984118673903616
908,940965719944171521
909,940961035095289857
910,940959872023179264
911,940924948473839616
912,940924481069113344
913,940923653155377152
914,940923070977658880
915,940922016793792512
916,940920455363481600
917,940917159252852736
918,940891298789281793
919,940887421524332544
920,940878506019508224
921,940878005324468224
922,940868355065565184
923,940868294508208128
924,940865548434460672
925,940865087463665664
926,940863264791126017
927,940791662661505026
928,940790469486923779
929,940789177762840577
930,940789147584876546
931,940788827282649088
932,940786177346596864
933,940785435009306624
934,940772929645809665
935,940709815462060032
936,940708514313461765
937,940699030589493250
938,940696756509204481
939,940696457929281536
940,940694171110838272
941,940678147749576704
942,940674664271171585
943,940674506628136962
944,940672814474031105
945,940670543367417856
946,940670325016195072
947,940670029347131397
948,940669375056662535
949,940652537551745024
950,940652409977757696
951,940652281439117313
952,940651515534077954
953,940639032689741829
954,940638547324932096
955,940635064458768384
956,940635050726576134
957,940627320217456641
958,940627012758228993
959,940622299610435585
960,940622161357787136
961,940621177667670016
962,940620182933864454
963,940615176734298112
964,940613223925080064
965,940605136094875648
966,940601014402584580
967,940600838216613889
968,940486408770412544
969,940377551146545153
970,940347649231814658
971,940344094815027200
972,940336832558129158
973,940334923453554688
974,940326994977443842
975,940310987336536065
976,940308406489042944
977,940308302524805121
978,940307867520954368
979,940307572581650432
980,940306250272772098
981,940277774664830977
982,940276973733138432
983,940255704912408578
984,940254546584047616
985,940246224686452736
986,940245030425563138
987,940244717744414721
988,940244405285507073
989,940243581255630849
990,940236173422858240
991,940225389368135680
992,940218535380504576
993,940189838778798085
994,940181085748649984
995,940158973159854080
996,940155202073780224
997,940139902632628225
998,940139614802718720
999,940017394331934720
1000,940017006132293632
1001,940016745808629762
1002,940016203384475648
1003,940015801905680386
1004,940015665104158725
1005,940015272232091648
1006,940014646634872832
1007,940014241746124800
1008,940013359784775682
1009,940012936520708101
1010,940012143696629760
1011,940012127217242112
1012,939981397741199360
1013,939955415479209984
1014,939888253284610050
1015,939864852411150336
1016,939864703525904384
1017,939859779694022656
1018,939859539502993408
1019,939833824703401984
1020,939833663700783104
1021,939833237551149057
1022,939812536035217408
1023,939811995183960065
1024,939808975448666113
1025,939808517682278403
1026,939807642310017024
1027,939665371602276353
1028,939664604015284224
1029,939638273995091968
1030,939626493977808896
1031,939608050884923393
1032,939604009907900416
1033,939603628880531457
1034,939603434751381504
1035,939576894470676481
1036,939574480090869761
1037,939574257624993792
1038,939565472231632901
1039,939565403247915008
1040,939560423224958976
1041,939560278026543104
1042,939546011780964352
1043,939545475673403393
1044,939544740583833601
1045,939534511427260417
1046,939530089112461312
1047,939530062310674434
1048,939523480210628608
1049,939506034929995777
1050,939505824787025920
1051,939502174266122240
1052,939493092599746561
1053,939248090749505536
1054,939185623600173057
1055,939164198260695040
1056,939164008757768194
